Stone,STONE,0
Grass Block,GRASS,0
Dirt,DIRT,0
Grassless Dirt,DIRT,1
Podzol,DIRT,2
Cobblestone,COBBLESTONE,0
Oak Wood Planks,WOOD,0
Spruce Wood Planks,WOOD,1
Birch Wood Planks,WOOD,2
Jungle Wood Planks,WOOD,3
Acacia Wood Planks,WOOD,4
Dark Oak Wood Planks,WOOD,5
Oak Sapling,SAPLING,0
Spruce Sapling,SAPLING,1
Birch Sapling,SAPLING,2
Jungle Sapling,SAPLING,3
Acacia Sapling,SAPLING,4
Dark Oak Sapling,SAPLING,5
Bedrock,BEDROCK,0
Water,WATER,0
Stationary Water,STATIONARY_WATER,0
Lava,LAVA,0
Stationary Lava,STATIONARY_LAVA,0
Sand,SAND,0
Gravel,GRAVEL,0
Gold Ore,GOLD_ORE,0
Iron Ore,IRON_ORE,0
Coal Ore,COAL_ORE,0
Oak Wood,LOG,0
Spruce Wood,LOG,1
Birch Wood,LOG,2
Jungle Wood,LOG,3
Leaves,LEAVES,0
Sponge,SPONGE,0
Glass,GLASS,0
Lapis Ore,LAPIS_ORE,0
Lapis Block,LAPIS_BLOCK,0
Dispenser,DISPENSER,0
Sandstone,SANDSTONE,0
Note Block,NOTE_BLOCK,0
Bed Block,BED_BLOCK,0
Powered Rail,POWERED_RAIL,0
Detector Rail,DETECTOR_RAIL,0
Piston Sticky Base,PISTON_STICKY_BASE,0
Web,WEB,0
Shrub,LONG_GRASS,0
Grass,LONG_GRASS,1
Fern,LONG_GRASS,2
Dead Bush,DEAD_BUSH,0
Piston Base,PISTON_BASE,0
Piston Extension,PISTON_EXTENSION,0
White Wool,WOOL,0
Orange Wool,WOOL,1
Magenta Wool,WOOL,2
Light Blue Wool,WOOL,3
Yellow Wool,WOOL,4
Lime Wool,WOOL,5
Pink Wool,WOOL,6
Gray Wool,WOOL,7
Light Gray Wool,WOOL,8
Cyan Wool,WOOL,9
Purple Wool,WOOL,10
Blue Wool,WOOL,11
Brown Wool,WOOL,12
Green Wool,WOOL,13
Red Wool,WOOL,14
Black Wool,WOOL,15
Piston Moving Piece,PISTON_MOVING_PIECE,0
Dandelion,YELLOW_FLOWER,0
Poppy,RED_ROSE,0
Blue Orchid,RED_ROSE,1
Allium,RED_ROSE,2
Azure Bluet,RED_ROSE,3
Red Tulip,RED_ROSE,4
Orange Tulip,RED_ROSE,5
White Tulip,RED_ROSE,6
Pink Tulip,RED_ROSE,7
Oxeye Daisy,RED_ROSE,8
Brown Mushroom,BROWN_MUSHROOM,0
Red Mushroom,RED_MUSHROOM,0
Gold Block,GOLD_BLOCK,0
Iron Block,IRON_BLOCK,0
Double Stone Slab,DOUBLE_STEP,0
Nether Brick Slab,DOUBLE_STEP,6
Stone Slab,STEP,0
Brick,BRICK,0
TNT,TNT,0
Bookshelf,BOOKSHELF,0
Mossy Cobblestone,MOSSY_COBBLESTONE,0
Obsidian,OBSIDIAN,0
Torch,TORCH,0
Fire,FIRE,0
Mob Spawner,MOB_SPAWNER,0
Wood Stairs,WOOD_STAIRS,0
Chest,CHEST,0
Redstone Wire,REDSTONE_WIRE,0
Diamond Ore,DIAMOND_ORE,0
Diamond Block,DIAMOND_BLOCK,0
Workbench,WORKBENCH,0
Crops,CROPS,0
Soil,SOIL,0
Furnace,FURNACE,0
Burning Furnace,BURNING_FURNACE,0
Sign Post,SIGN_POST,0
Wooden Door,WOODEN_DOOR,0
Ladder,LADDER,0
Rail,RAILS,0
Cobblestone Stairs,COBBLESTONE_STAIRS,0
Wall Sign,WALL_SIGN,0
Lever,LEVER,0
Stone Plate,STONE_PLATE,0
Iron Door Block,IRON_DOOR_BLOCK,0
Wood Plate,WOOD_PLATE,0
Redstone Ore,REDSTONE_ORE,0
Glowing Redstone Ore,GLOWING_REDSTONE_ORE,0
Redstone Torch Off,REDSTONE_TORCH_OFF,0
Redstone Torch On,REDSTONE_TORCH_ON,0
Stone Button,STONE_BUTTON,0
Snow,SNOW,0
Ice,ICE,0
Snow Block,SNOW_BLOCK,0
Cactus,CACTUS,0
Clay,CLAY,0
Sugar Cane Block,SUGAR_CANE_BLOCK,0
Jukebox,JUKEBOX,0
Fence,FENCE,0
Pumpkin,PUMPKIN,0
Netherrack,NETHERRACK,0
Soul Sand,SOUL_SAND,0
Glowstone,GLOWSTONE,0
Portal,PORTAL,0
Jack O Lantern,JACK_O_LANTERN,0
Cake Block,CAKE_BLOCK,0
Diode Block Off,DIODE_BLOCK_OFF,0
Diode Block On,DIODE_BLOCK_ON,0
White Stained Glass,STAINED_GLASS,0
Orange Stained Glass,STAINED_GLASS,1
Magenta Stained Glass,STAINED_GLASS,2
Light Blue Stained Glass,STAINED_GLASS,3
Yellow Stained Glass,STAINED_GLASS,4
Lime Stained Glass,STAINED_GLASS,5
Pink Stained Glass,STAINED_GLASS,6
Gray Stained Glass,STAINED_GLASS,7
Light Gray Stained Glass,STAINED_GLASS,8
Cyan Stained Glass,STAINED_GLASS,9
Purple Stained Glass,STAINED_GLASS,10
Blue Stained Glass,STAINED_GLASS,11
Brown Stained Glass,STAINED_GLASS,12
Green Stained Glass,STAINED_GLASS,13
Red Stained Glass,STAINED_GLASS,14
Black Stained Glass,STAINED_GLASS,15
Trap Door,TRAP_DOOR,0
Monster Eggs,MONSTER_EGGS,0
Stone Brick,SMOOTH_BRICK,0
Mossy Stone Brick,SMOOTH_BRICK,1
Cracked Stone Brick,SMOOTH_BRICK,2
Chiseled Stone Brick,SMOOTH_BRICK,3
Huge Mushroom 1,HUGE_MUSHROOM_1,0
Huge Mushroom 2,HUGE_MUSHROOM_2,0
Iron Fence,IRON_FENCE,0
Thin Glass,THIN_GLASS,0
Melon Block,MELON_BLOCK,0
Pumpkin Stem,PUMPKIN_STEM,0
Melon Stem,MELON_STEM,0
Vine,VINE,0
Fence Gate,FENCE_GATE,0
Brick Stairs,BRICK_STAIRS,0
Smooth Stairs,SMOOTH_STAIRS,0
Mycel,MYCEL,0
Water Lily,WATER_LILY,0
Nether Brick,NETHER_BRICK,0
Nether Fence,NETHER_FENCE,0
Nether Brick Stairs,NETHER_BRICK_STAIRS,0
Nether Wart Block,NETHER_WARTS,0
Enchantment Table,ENCHANTMENT_TABLE,0
Brewing Stand,BREWING_STAND,0
Cauldron,CAULDRON,0
Ender Portal,ENDER_PORTAL,0
Ender Portal Frame,ENDER_PORTAL_FRAME,0
Ender Stone,ENDER_STONE,0
Dragon Egg,DRAGON_EGG,0
Redstone Lamp Off,REDSTONE_LAMP_OFF,0
Redstone Lamp On,REDSTONE_LAMP_ON,0
Wood Double Step,WOOD_DOUBLE_STEP,0
Wood Step,WOOD_STEP,0
Cocoa Stalk,COCOA,0
Sandstone Stairs,SANDSTONE_STAIRS,0
Emerald Ore,EMERALD_ORE,0
Ender Chest,ENDER_CHEST,0
Tripwire Hook,TRIPWIRE_HOOK,0
Tripwire,TRIPWIRE,0
Emerald Block,EMERALD_BLOCK,0
Spruce Wood Stairs,SPRUCE_WOOD_STAIRS,0
Birch Wood Stairs,BIRCH_WOOD_STAIRS,0
Jungle Wood Stairs,JUNGLE_WOOD_STAIRS,0
Command,COMMAND,0
Beacon,BEACON,0
Cobble Wall,COBBLE_WALL,0
Flower Pot,FLOWER_POT,0
Carrot Crop,CARROT,0
Potato Crop,POTATO,0
Wood Button,WOOD_BUTTON,0
Skull,SKULL,0
Anvil,ANVIL,0
Trapped Chest,TRAPPED_CHEST,0
Gold Plate,GOLD_PLATE,0
Iron Plate,IRON_PLATE,0
Redstone Comparator Off,REDSTONE_COMPARATOR_OFF,0
Redstone Comparator On,REDSTONE_COMPARATOR_ON,0
Daylight Detector,DAYLIGHT_DETECTOR,0
Redstone Block,REDSTONE_BLOCK,0
Quartz Ore,QUARTZ_ORE,0
Hopper,HOPPER,0
Quartz Block,QUARTZ_BLOCK,0
Quartz Stairs,QUARTZ_STAIRS,0
Activator Rail,ACTIVATOR_RAIL,0
Dropper,DROPPER,0
